node,lat,lon,REGION,node_name
KCPLIATANUNIAT2,39.4472,-94.98,SPP,SETTLEMENTLOCATION
KCPLIATANUNIAT1,39.4472,-94.98,SPP,SETTLEMENTLOCATION
WR.WPW,39.122,-100.733,SPP,SETTLEMENTLOCATION
WR.IWW1.GEN,37.81828,-99.7754,SPP,SETTLEMENTLOCATION
WR.JAYHAWK,37.704461,-95.02982,SPP,SETTLEMENTLOCATION
WR.JEC.2,39.286453,-96.11723,SPP,SETTLEMENTLOCATION
WR.JEC.3,39.286453,-96.11723,SPP,SETTLEMENTLOCATION
WR.JEC.1,39.286453,-96.11723,SPP,SETTLEMENTLOCATION
NPPD.KCPL.JFY1,40.959405,-100.3979,SPP,SETTLEMENTLOCATION
NPPD.KCPL.JFY2,40.959405,-100.3979,SPP,SETTLEMENTLOCATION
CSWS.TNSK.GREENCOUNTRY,35.9833,-95.9346,SPP,SETTLEMENTLOCATION
CSWS.TNSK.GREENCOUNTRY2,35.9833,-95.9346,SPP,SETTLEMENTLOCATION
CSWS.TNSK.GREENCOUNTRY3,35.9833,-95.9346,SPP,SETTLEMENTLOCATION
OKGE.TNSK.DSW,34.487369,-96.78046,SPP,SETTLEMENTLOCATION
SECI.JCSOLAR,37.547002,-101.7992,SPP,SETTLEMENTLOCATION
NPPD.KCPL.JN11,40.6936,-99.8178,SPP,SETTLEMENTLOCATION
NPPD.KCPL.JN12,40.6936,-99.8178,SPP,SETTLEMENTLOCATION
NPPD.KCPL.JHN2,40.6936,-99.8178,SPP,SETTLEMENTLOCATION
SPS.JONES1,33.5239,-101.7392,SPP,SETTLEMENTLOCATION
SPS.JONES2,33.5239,-101.7392,SPP,SETTLEMENTLOCATION
KERR_1,36.2317,-95.1822,SPP,SETTLEMENTLOCATION
KERR_2,36.2317,-95.1822,SPP,SETTLEMENTLOCATION
KERR_3,36.2317,-95.1822,SPP,SETTLEMENTLOCATION
KERR_4,36.2317,-95.1822,SPP,SETTLEMENTLOCATION
NPPD_KINGSLEY,41.2114,-101.6681,SPP,SETTLEMENTLOCATION
CSWKNOXLEE5,32.3766,-94.6415,SPP,SETTLEMENTLOCATION
KCPLLACYGNEUNLAC1,38.3481,-94.6456,SPP,SETTLEMENTLOCATION
KCPLLACYGNEUNLAC2,38.3481,-94.6456,SPP,SETTLEMENTLOCATION
MPSLAKE_RDUN4,39.7246,-94.8773,SPP,SETTLEMENTLOCATION
MPSLAKE_RDUN1,39.7246,-94.8773,SPP,SETTLEMENTLOCATION
MPSLAKE_RDUN2,39.7246,-94.8773,SPP,SETTLEMENTLOCATION
MPSLAKE_RDUN3,39.7246,-94.8773,SPP,SETTLEMENTLOCATION
